t,t+1
-1.36206840923208,-1.23674366974522
-1.23674366974522,-1.10159656335224
-1.10159656335224,-0.965201067249751
-0.965201067249751,-0.834081108895436
-0.834081108895436,-0.712572835718825
-0.712572835718825,-0.603112464118
-0.603112464118,-0.506684906774012
-0.506684906774012,-0.423269109259462
-0.423269109259462,-0.352207542576237
-0.352207542576237,-0.292483399339217
-0.292483399339217,-0.242914964787987
-0.242914964787987,-0.202284701484678
-0.202284701484678,-0.169420379645271
-0.169420379645271,-0.143242514571886
-0.143242514571886,-0.122788909003101
-0.122788909003101,-0.107224130544067
-0.107224130544067,-0.095839465984082
-0.095839465984082,-0.088047212155487
-0.088047212155487,-0.083371953300822
-0.083371953300822,-0.081440614055342
-0.081440614055342,-0.081972469124228
-0.081972469124228,-0.084769865815832
-0.084769865815832,-0.089710124307908
-0.089710124307908,-0.096738887960285
-0.096738887960285,-0.105865077676423
-0.105865077676423,-0.1171575436023
-0.1171575436023,-0.13074349398332
-0.13074349398332,-0.146808810029
-0.146808810029,-0.165600427897003
-0.165600427897003,-0.187431090934846
-0.187431090934846,-0.212686959951191
-0.212686959951191,-0.24183883588991
-0.24183883588991,-0.275458122399597
-0.275458122399597,-0.314239159373376
-0.314239159373376,-0.359030198940378
-0.359030198940378,-0.410876018143249
-0.410876018143249,-0.471075749294731
-0.471075749294731,-0.541259341566991
-0.541259341566991,-0.623483602552075
-0.623483602552075,-0.720340407992447
-0.720340407992447,-0.835047457491649
-0.835047457491649,-0.971439422466873
-0.971439422466873,-1.13366409899943
-1.13366409899943,-1.32517208904376
-1.32517208904376,-1.54626473366125
-1.54626473366125,-1.78927520723959
-1.78927520723959,-2.03138889567621
-2.03138889567621,-2.22905356100644
-2.22905356100644,-2.32431108011106
-2.32431108011106,-2.27108473922434
-2.27108473922434,-2.06608178730456
-2.06608178730456,-1.75173798765398
-1.75173798765398,-1.38777254972122
-1.38777254972122,-1.02243807839522
-1.02243807839522,-0.682976819772577
-0.682976819772577,-0.379730173588095
-0.379730173588095,-0.113260186125966
-0.113260186125966,0.120329106461254
0.120329106461254,0.326352867950073
0.326352867950073,0.51002083971283
0.51002083971283,0.675710603744883
0.675710603744883,0.826604794163401
0.826604794163401,0.964475778795466
0.964475778795466,1.08954000116352
1.08954000116352,1.20039937016032
1.20039937016032,1.29415749803988
1.29415749803988,1.36683178421258
1.36683178421258,1.41414045968439
1.41414045968439,1.43259804472926
1.43259804472926,1.42064405210935
1.42064405210935,1.37939528199817
1.37939528199817,1.31269801532591
1.31269801532591,1.22645755021335
1.22645755021335,1.12754178165041
1.12754178165041,1.02267883181981
1.02267883181981,0.917659497686521
0.917659497686521,0.81694553442975
0.81694553442975,0.723619717294212
0.723619717294212,0.639547677764449
0.639547677764449,0.565630874816964
0.565630874816964,0.502069729215167
0.502069729215167,0.448595092837296
0.448595092837296,0.404653287249749
0.404653287249749,0.369544832630594
0.369544832630594,0.34252345252404
0.34252345252404,0.322863685378979
0.322863685378979,0.309904976963907
0.309904976963907,0.303078875567525
0.303078875567525,0.301924580024194
0.301924580024194,0.306096872087282
0.306096872087282,0.315369479023589
0.315369479023589,0.32963615803101
0.32963615803101,0.348911241618449
0.348911241618449,0.373330995246844
0.373330995246844,0.40315687360626
0.40315687360626,0.438781565120705
0.438781565120705,0.480738496314327
0.480738496314327,0.529715062399065
0.529715062399065,0.586568935815128
0.586568935815128,0.652344760375826
0.652344760375826,0.728284206886782
0.728284206886782,0.815813691541519
0.815813691541519,0.916477701922549
0.916477701922549,1.03175710978797
1.03175710978797,1.16266769200398
1.16266769200398,1.30898127830191
1.30898127830191,1.46789245455026
1.46789245455026,1.63208914357185
1.63208914357185,1.78769697370147
1.78769697370147,1.9135832242917
1.9135832242917,1.98439864089908
1.98439864089908,1.97858196711484
1.97858196711484,1.88813218344905
1.88813218344905,1.72311048577084
1.72311048577084,1.50697099061027
1.50697099061027,1.26669897764097
1.26669897764097,1.02473872237046
1.02473872237046,0.795844804819342
0.795844804819342,0.58767190836305
0.58767190836305,0.402794386704803
0.402794386704803,0.240689603777062
0.240689603777062,0.099186752464734
0.099186752464734,-0.02461856470091
-0.02461856470091,-0.133838064175505
-0.133838064175505,-0.231510772986634
-0.231510772986634,-0.320467932379468
-0.320467932379468,-0.403278588918984
-0.403278588918984,-0.482236929496958
-0.482236929496958,-0.559367479662629
-0.559367479662629,-0.636432290880859
-0.636432290880859,-0.71492764676797
-0.71492764676797,-0.796058220592823
-0.796058220592823,-0.880675225538192
-0.880675225538192,-0.969163459672616
-0.969163459672616,-1.06126313146081
-1.06126313146081,-1.15582131146606
-1.15582131146606,-1.25049308594701
-1.25049308594701,-1.34146250150279
-1.34146250150279,-1.42332676742979
-1.42332676742979,-1.48935331810627
-1.48935331810627,-1.53230383848336
-1.53230383848336,-1.54583426541331
-1.54583426541331,-1.52613085016153
-1.52613085016153,-1.47313563161229
-1.47313563161229,-1.39075977653855
-1.39075977653855,-1.28595929280714
-1.28595929280714,-1.16712237122211
-1.16712237122211,-1.04245663061689
-1.04245663061689,-0.918872964915533
-0.918872964915533,-0.801496470761732
-0.801496470761732,-0.693668839861267
-0.693668839861267,-0.597223620147154
-0.597223620147154,-0.512853586747257
-0.512853586747257,-0.440462898083151
-0.440462898083151,-0.379457779294933
-0.379457779294933,-0.328966154346982
