t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t,t+1
-2.00886421111673,-1.89750604831184,-1.7676472662796,-1.62412344063142,-1.47184059225723,-1.31541242030722,-1.15890249324238,-1.00567786580916,-0.858360372485623,-0.718851445978841,-0.588404288955517,-0.467720535582619,-0.357054181283762,-0.256311409939481,-0.165139871131067,-0.083004573906183,-0.009249929417135,0.056851153073952,0.116059542482846,0.169141739752472,0.216849553825261
-1.89750604831184,-1.7676472662796,-1.62412344063142,-1.47184059225723,-1.31541242030722,-1.15890249324238,-1.00567786580916,-0.858360372485623,-0.718851445978841,-0.588404288955517,-0.467720535582619,-0.357054181283762,-0.256311409939481,-0.165139871131067,-0.083004573906183,-0.009249929417135,0.056851153073952,0.116059542482846,0.169141739752472,0.216849553825261,0.259906014518568
-1.7676472662796,-1.62412344063142,-1.47184059225723,-1.31541242030722,-1.15890249324238,-1.00567786580916,-0.858360372485623,-0.718851445978841,-0.588404288955517,-0.467720535582619,-0.357054181283762,-0.256311409939481,-0.165139871131067,-0.083004573906183,-0.009249929417135,0.056851153073952,0.116059542482846,0.169141739752472,0.216849553825261,0.259906014518568,0.298996158062695
-1.62412344063142,-1.47184059225723,-1.31541242030722,-1.15890249324238,-1.00567786580916,-0.858360372485623,-0.718851445978841,-0.588404288955517,-0.467720535582619,-0.357054181283762,-0.256311409939481,-0.165139871131067,-0.083004573906183,-0.009249929417135,0.056851153073952,0.116059542482846,0.169141739752472,0.216849553825261,0.259906014518568,0.298996158062695,0.334761547147132
-1.47184059225723,-1.31541242030722,-1.15890249324238,-1.00567786580916,-0.858360372485623,-0.718851445978841,-0.588404288955517,-0.467720535582619,-0.357054181283762,-0.256311409939481,-0.165139871131067,-0.083004573906183,-0.009249929417135,0.056851153073952,0.116059542482846,0.169141739752472,0.216849553825261,0.259906014518568,0.298996158062695,0.334761547147132,0.367797595363934
-1.31541242030722,-1.15890249324238,-1.00567786580916,-0.858360372485623,-0.718851445978841,-0.588404288955517,-0.467720535582619,-0.357054181283762,-0.256311409939481,-0.165139871131067,-0.083004573906183,-0.009249929417135,0.056851153073952,0.116059542482846,0.169141739752472,0.216849553825261,0.259906014518568,0.298996158062695,0.334761547147132,0.367797595363934,0.398652946389328
-1.15890249324238,-1.00567786580916,-0.858360372485623,-0.718851445978841,-0.588404288955517,-0.467720535582619,-0.357054181283762,-0.256311409939481,-0.165139871131067,-0.083004573906183,-0.009249929417135,0.056851153073952,0.116059542482846,0.169141739752472,0.216849553825261,0.259906014518568,0.298996158062695,0.334761547147132,0.367797595363934,0.398652946389328,0.427830309131991
-1.00567786580916,-0.858360372485623,-0.718851445978841,-0.588404288955517,-0.467720535582619,-0.357054181283762,-0.256311409939481,-0.165139871131067,-0.083004573906183,-0.009249929417135,0.056851153073952,0.116059542482846,0.169141739752472,0.216849553825261,0.259906014518568,0.298996158062695,0.334761547147132,0.367797595363934,0.398652946389328,0.427830309131991,0.455788273211147
-0.858360372485623,-0.718851445978841,-0.588404288955517,-0.467720535582619,-0.357054181283762,-0.256311409939481,-0.165139871131067,-0.083004573906183,-0.009249929417135,0.056851153073952,0.116059542482846,0.169141739752472,0.216849553825261,0.259906014518568,0.298996158062695,0.334761547147132,0.367797595363934,0.398652946389328,0.427830309131991,0.455788273211147,0.482943727887997
-0.718851445978841,-0.588404288955517,-0.467720535582619,-0.357054181283762,-0.256311409939481,-0.165139871131067,-0.083004573906183,-0.009249929417135,0.056851153073952,0.116059542482846,0.169141739752472,0.216849553825261,0.259906014518568,0.298996158062695,0.334761547147132,0.367797595363934,0.398652946389328,0.427830309131991,0.455788273211147,0.482943727887997,0.509674585705034
